Parametros	ph	Conductividad	Turbidez	Coliformes
Fuente_1	6	100	1	0
Fuente_2	7.2	158	0	0
Fuente_3	6.95	269	0	0
Fuente_4	7.75	239	0	0
Fuente_5	7.04	194	0	0
Fuente_6	6.66	163	0	0
Fuente_7	7.46	281	5	1
Fuente_8	7.56	161	3	1
Fuente_9	7.42	121	2	0
Fuente_10	7.83	103	0	0
Fuente_11	7.46	200	0	0
Fuente_12	7.46	214	0	0
Fuente_13	7.35	116	0	0
Fuente_14	6.94	117	1	1
Fuente_15	6.83	112	1	0
Fuente_16	6.92	108	1	0
Fuente_17	7.38	203	10	2
Fuente_18	7.47	269	5	1.0
Fuente_19	7.67	244	4	1.0
Fuente_20	7.39	219	0	0.0
Fuente_21	7.29	201	0	0.0
Fuente_22	7.49	121	0	0.0
Fuente_23	6.59	141	1	0.0
Fuente_24	7.49	166	0	0.0
Fuente_25	7.37	173	0	0.0
Fuente_26	7.16	170.3	1.8	0.4
Fuente_27	7.46	170	1.8	0.4
Fuente_28	7.35	169	1.8	0.4
Fuente_29	6.94	169	1.9	0.4
Fuente_30	6.83	169	1.9	0.4
Fuente_31	6.92	168	1.9	0.4
Fuente_32	7.38	168	1.9	0.4
Fuente_33	7.47	167	2	0.4
Fuente_34	7.67	167	2	0.4
Fuente_35	7.39	167	2	0.4
Fuente_36	7.29	166	2.1	0.4
Fuente_37	7.49	166	2.1	0.4
Fuente_38	6.6	165	2.1	0.5
Fuente_39	7.25	165	2.2	0.5
Fuente_40	7.13	164	2.2	0.5
Fuente_41	7.16	164	2.2	0.5
Fuente_42	7.49	164	2.3	0.5
Fuente_43	7.38	163	2.3	0.5
Fuente_44	6.94	163	2.3	0.5
Fuente_45	6.83	162	2.3	0.5
Fuente_46	6.92	162	2.4	0.5
Fuente_47	7.38	162	2.4	0.5
Fuente_48	7.47	161	2.4	0.5
Fuente_49	7.67	161	2.5	0.5
Fuente_50	7.39	160	2.5	0.5
Fuente_51	7.29	160	2.5	0.5
Fuente_52	7.49	159	2.6	0.6
Fuente_53	6.61	159	2.6	0.6
Fuente_54	7.1	159	2.6	0.6
Fuente_55	7.11	158	2.7	0.6
Fuente_56	7.16	158	2.7	0.6
Fuente_57	7.49	157	2.7	0.6
Fuente_58	7.35	157	2.7	0.6
Fuente_59	6.94	157	2.8	0.6
Fuente_60	6.83	156	2.8	0.6
Fuente_61	6.92	156	2.8	0.6
Fuente_62	7.38	155	2.9	0.6
Fuente_63	7.47	155	2.9	0.6
Fuente_64	7.67	154	2.9	0.6
Fuente_65	7.39	154	3	0.6
Fuente_66	7.29	154	3	0.6
Fuente_67	7.49	153	3	0.7
Fuente_68	6.62	153	3.1	0.7
Fuente_69	7.23	152	3.1	0.7
Fuente_70	7.35	152	3.1	0.7
Fuente_71	7.16	152	3.1	0.7
Fuente_72	7.46	151	3.2	0.7
Fuente_73	7.35	151	3.2	0.7
Fuente_74	6.94	150	3.2	0.7
Fuente_75	6.83	150	3.3	0.7
Fuente_76	6.92	149	3.3	0.7
Fuente_77	7.29	149	3.3	0.7
Fuente_78	7.47	149	3.4	0.7
Fuente_79	7.67	148	3.4	0.7
Fuente_80	6.92	148	3.4	0.7
Fuente_81	7.19	147	3.45	0.8
Fuente_82	7.19	147	3.47	0.8
Fuente_83	7.18	147	3.50	0.8
Fuente_84	7.18	146	3.53	0.8
Fuente_85	7.18	146	3.56	0.8
Fuente_86	7.17	145	3.59	0.8
Fuente_87	7.17	145	3.62	0.8
Fuente_88	7.17	144	3.65	0.8
Fuente_89	7.17	144	3.68	0.8
Fuente_90	7.16	144	3.71	0.8
Fuente_91	7.16	143	3.74	0.8
Fuente_92	7.16	143	3.77	0.8
Fuente_93	7.16	142	3.80	0.8
Fuente_94	7.15	142	3.83	0.8
Fuente_95	7.15	142	3.86	0.8
Fuente_96	7.15	141	3.89	0.9
Fuente_97	7.14	141	3.92	0.9
Fuente_98	7.14	140	3.95	0.9
Fuente_99	7.14	140	3.98	0.9
Fuente_100	7.14	139	4.01	0.9
Fuente_101	7.13	139	4.04	0.9
Fuente_102	7.13	139	4.07	0.9
Fuente_103	7.13	138	4.10	0.9
Fuente_104	7.13	138	4.12	0.9
Fuente_105	7.12	137	4.15	0.9
Fuente_106	7.12	137	4.18	0.9
Fuente_107	7.12	136	4.21	0.9
Fuente_108	7.12	136	4.24	0.9
Fuente_109	7.11	136	4.27	0.9
Fuente_110	7.11	135	4.30	1.0
Fuente_111	7.11	135	4.33	1.0
Fuente_112	7.10	134	4.36	1.0
Fuente_113	7.10	134	4.39	1.0
